run_id,ablation,task_id,bundle_relpath,has_replay_report,replay_report_relpath
20260305_185605,A1,rf_mwp_000169,bundles/20260305_185605/seed42/A1/rf_mwp_000169,0,
20260305_185605,A2,rf_mwp_000160,bundles/20260305_185605/seed42/A2/rf_mwp_000160,0,
20260305_185605,A2,rf_mwp_000161,bundles/20260305_185605/seed42/A2/rf_mwp_000161,0,
20260305_185605,A2,rf_mwp_000162,bundles/20260305_185605/seed42/A2/rf_mwp_000162,0,
20260305_185605,A2,rf_mwp_000163,bundles/20260305_185605/seed42/A2/rf_mwp_000163,0,
20260305_185605,A2,rf_mwp_000164,bundles/20260305_185605/seed42/A2/rf_mwp_000164,0,
20260305_185605,A2,rf_mwp_000165,bundles/20260305_185605/seed42/A2/rf_mwp_000165,0,
20260305_185605,A2,rf_mwp_000166,bundles/20260305_185605/seed42/A2/rf_mwp_000166,0,
20260305_185605,A2,rf_mwp_000167,bundles/20260305_185605/seed42/A2/rf_mwp_000167,0,
20260305_185605,A2,rf_mwp_000168,bundles/20260305_185605/seed42/A2/rf_mwp_000168,0,
20260305_185605,A2,rf_mwp_000169,bundles/20260305_185605/seed42/A2/rf_mwp_000169,0,
20260305_185605,A3,rf_mwp_000160,bundles/20260305_185605/seed42/A3/rf_mwp_000160,0,
20260305_185605,A3,rf_mwp_000161,bundles/20260305_185605/seed42/A3/rf_mwp_000161,0,
20260305_185605,A3,rf_mwp_000162,bundles/20260305_185605/seed42/A3/rf_mwp_000162,0,
20260305_185605,A3,rf_mwp_000163,bundles/20260305_185605/seed42/A3/rf_mwp_000163,0,
20260305_185605,A3,rf_mwp_000164,bundles/20260305_185605/seed42/A3/rf_mwp_000164,0,
20260305_185605,A3,rf_mwp_000165,bundles/20260305_185605/seed42/A3/rf_mwp_000165,0,
20260305_185605,A3,rf_mwp_000166,bundles/20260305_185605/seed42/A3/rf_mwp_000166,0,
20260305_185605,A3,rf_mwp_000167,bundles/20260305_185605/seed42/A3/rf_mwp_000167,0,
20260305_185605,A3,rf_mwp_000168,bundles/20260305_185605/seed42/A3/rf_mwp_000168,0,
20260305_185605,A3,rf_mwp_000169,bundles/20260305_185605/seed42/A3/rf_mwp_000169,0,
20260305_232500,A1,rf_mwp_000170,bundles/20260305_232500/seed42/A1/rf_mwp_000170,0,
20260305_232500,A1,rf_mwp_000171,bundles/20260305_232500/seed42/A1/rf_mwp_000171,0,
20260305_232500,A1,rf_mwp_000172,bundles/20260305_232500/seed42/A1/rf_mwp_000172,0,
20260305_232500,A1,rf_mwp_000173,bundles/20260305_232500/seed42/A1/rf_mwp_000173,0,
20260305_232500,A1,rf_mwp_000174,bundles/20260305_232500/seed42/A1/rf_mwp_000174,0,
20260305_232500,A1,rf_mwp_000175,bundles/20260305_232500/seed42/A1/rf_mwp_000175,0,
20260305_232500,A1,rf_mwp_000176,bundles/20260305_232500/seed42/A1/rf_mwp_000176,0,
20260305_232500,A1,rf_mwp_000177,bundles/20260305_232500/seed42/A1/rf_mwp_000177,0,
20260305_232500,A1,rf_mwp_000178,bundles/20260305_232500/seed42/A1/rf_mwp_000178,0,
20260305_232500,A1,rf_mwp_000179,bundles/20260305_232500/seed42/A1/rf_mwp_000179,0,
20260305_232500,A2,rf_mwp_000170,bundles/20260305_232500/seed42/A2/rf_mwp_000170,0,
20260305_232500,A2,rf_mwp_000171,bundles/20260305_232500/seed42/A2/rf_mwp_000171,0,
20260305_232500,A2,rf_mwp_000172,bundles/20260305_232500/seed42/A2/rf_mwp_000172,0,
20260305_232500,A2,rf_mwp_000173,bundles/20260305_232500/seed42/A2/rf_mwp_000173,0,
20260305_232500,A2,rf_mwp_000174,bundles/20260305_232500/seed42/A2/rf_mwp_000174,0,
20260305_232500,A2,rf_mwp_000175,bundles/20260305_232500/seed42/A2/rf_mwp_000175,0,
20260305_232500,A2,rf_mwp_000176,bundles/20260305_232500/seed42/A2/rf_mwp_000176,0,
20260305_232500,A2,rf_mwp_000177,bundles/20260305_232500/seed42/A2/rf_mwp_000177,0,
20260305_232500,A2,rf_mwp_000178,bundles/20260305_232500/seed42/A2/rf_mwp_000178,0,
20260305_232500,A2,rf_mwp_000179,bundles/20260305_232500/seed42/A2/rf_mwp_000179,0,
20260305_232500,A3,rf_mwp_000170,bundles/20260305_232500/seed42/A3/rf_mwp_000170,0,
20260305_232500,A3,rf_mwp_000171,bundles/20260305_232500/seed42/A3/rf_mwp_000171,0,
20260305_232500,A3,rf_mwp_000172,bundles/20260305_232500/seed42/A3/rf_mwp_000172,0,
20260305_232500,A3,rf_mwp_000173,bundles/20260305_232500/seed42/A3/rf_mwp_000173,0,
20260305_232500,A3,rf_mwp_000174,bundles/20260305_232500/seed42/A3/rf_mwp_000174,0,
20260305_232500,A3,rf_mwp_000175,bundles/20260305_232500/seed42/A3/rf_mwp_000175,0,
20260305_232500,A3,rf_mwp_000176,bundles/20260305_232500/seed42/A3/rf_mwp_000176,0,
20260305_232500,A3,rf_mwp_000177,bundles/20260305_232500/seed42/A3/rf_mwp_000177,0,
20260305_232500,A3,rf_mwp_000178,bundles/20260305_232500/seed42/A3/rf_mwp_000178,0,
20260305_232500,A3,rf_mwp_000179,bundles/20260305_232500/seed42/A3/rf_mwp_000179,0,
